ID,Start time,Completion time,Which of the following most closely reflects your professional role at the time of the 8th Annual CIT Training Academy? Select one.,"If you selected ""Law Enforcement not based in Missoula"", in what County do you currently work? Write-in below.",When are you taking this survey? Select one.,What's one thing that you hope to takeaway from the 40-hour Crisis Intervention Team Training Academy?,What's one thing that you immediately took away from the 40-hour Crisis Intervention Team Training Academy?,"What else would you like to share with the Missoula Crisis Intervention Team Program and/or Trainers as relates to the training you completed, your experience of the training, and/or your experien...",How comfortable are you with your current knowledge of mental illness? Select one.,How aware are you of community resources available to people living with mental illness? Select one.,How knowledgeable are you about civil commitment laws? Select one.,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,Do you believe that the average person living with a mental illness is more or less aggressive than an individual not living with a mental illness? Select one.,Do you believe the average person living with a mental illness is more or less likely to commit a violent crime than an individual not living with a mental illness? Select one.,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,"Overall, how well prepared do you think other law enforcement officers are to appropriately engage with someone experiencing a mental health crisis? Select one.",How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,timepoint,"What's one way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?",What's one thing that you hoped to take away from the 40-hour Crisis Intervention Team Training Academy?,"What's one surprising way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?"
7,2024-07-10 12:13:53,2024-07-10 12:17:14,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 3 months after the April 2024 Academy,,New contacts and relationships with community providers ,,Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Very familiar,The same,The same,Expert,Moderately prepared,Expert,Expert,m3_6,Increased situational awareness and consciousness of proximity to clients ,,
8,2024-07-10 15:34:18,2024-07-10 15:39:46,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 3 months after the April 2024 Academy,I hoped to gain understanding of how police officers see and process mental health crisis calls. ,One thing that I have taken away from CIT is DBEAT and being mindful when approaching and working with someone in active crisis. ,"After completing CIT it is clear which firefighters, EMT's, and law enforcement officers have and have not taken the class. I would be curious about exploring a nontoxic way to refer people or maybe certain calls to CIT so that you guys can look at which responders responded in a trauma informed or a non-trauma informed way. ",Very comfortable,Very aware,Very knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Moderately prepared,Moderately comfortable,Very confident,m3_6,I use them every day at work. ,,
9,2024-07-13 08:46:42,2024-07-13 08:58:00,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 3 months after the April 2024 Academy,More knowledge of local resources.,My approach to these calls was correct even though other law enforcement members didn’t agree,Their are a good number of current LE members who do not buy into this training approach but it does seem like that group is getting smaller. ,Comfortable,Aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Moderately prepared,Somewhat prepared,Moderately comfortable,Very confident,m3_6,Passing along some of the information I gained during the trainings ,,
10,2024-07-22 13:14:42,2024-07-22 13:19:16,Other,,About 3 months after the April 2024 Academy,The ability to work to de-escalate those in crisis and taking the time to work with individuals experiencing a mental health crisis,de-escalation skills,I would like to get opportunities to work on my skills in the weeks following the class.,Very comfortable,Very aware,Knowledgeable,Very knowledgeable,Very familiar,More aggressive,More likely,Very prepared,Very prepared,Very comfortable,Very confident,m3_6,I use this in my work almost every day,,
11,2024-07-22 13:25:36,2024-07-22 13:27:56,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 3 months after the April 2024 Academy,,,,Comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Moderately prepared,Moderately prepared,Moderately comfortable,Moderately confident,m3_6,,,
12,2024-07-22 14:16:43,2024-07-22 14:22:44,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 3 months after the April 2024 Academy,Understanding how MPD and other first responders interact with people in a MH crisis,Better understanding of the law,Really helpful to have MH and LE together for both to get a better understanding of what we all do in our roles.,Very comfortable,Very aware,A little knowledgeable,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Somewhat prepared,Very comfortable,Expert,m3_6,working with callers on 988 to give better information about resources and what to expect,,
13,2024-07-23 11:28:15,2024-07-23 11:33:51,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 3 months after the April 2024 Academy,Just using the de-escalation techniques and verbiage that has been proven most effective. ,It definitely stresses the importance of showing professional empathy,"Im very grateful for this class, and would love to take the class above this one. I would pay for it myself if need be",Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Moderately prepared,Very comfortable,Very confident,m3_6,I use it all the time where i work,,
14,2024-07-23 19:40:48,2024-07-23 19:44:42,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 3 months after the April 2024 Academy,Resources,How involved the community is ,Keep up the great work,Comfortable,Very aware,Very knowledgeable,Very knowledgeable,Familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,m3_6,Daily with active listening,,
15,2024-07-30 09:26:23,2024-07-30 09:31:30,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 3 months after the April 2024 Academy,Learning effective de-esculation skills. ,Learning effective de-esculation skills. ,It was an amazing training! I think more BH providers should get involved in the training. It was a great way to meet law enforcement officers. ,Expert,Very aware,A little knowledgeable,Knowledgeable,Expert,The same,Less likely,Expert,Moderately prepared,Very comfortable,Moderately confident,m3_6,I have a deeper appreciation for the decisions that law enforment have to make on the spot. ,,
16,2024-10-16 12:49:44,2024-10-16 12:57:45,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 6 months after the April 2024 Academy,The resources were the biggest,It's a huge network of caring people,keep up the great work,Comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Moderately prepared,Very prepared,Very comfortable,Very confident,m3_6,giving resources to people in need,,
17,2024-10-16 12:54:27,2024-10-16 12:58:02,Other,,About 6 months after the April 2024 Academy,,,,Comfortable,Aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Moderately prepared,Very prepared,Moderately comfortable,Moderately confident,m3_6,,,
18,2024-10-16 13:06:15,2024-10-16 13:08:42,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 6 months after the April 2024 Academy,,,,Comfortable,Very aware,Very knowledgeable,Knowledgeable,Familiar,The same,The same,Very prepared,Moderately prepared,Moderately comfortable,Very confident,m3_6,,,
19,2024-10-16 13:08:40,2024-10-16 13:12:27,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 6 months after the April 2024 Academy,Connections with law enforcement ,A better understanding of how quickly officers have to make a decision. ,,Expert,Very aware,A little knowledgeable,Knowledgeable,Very familiar,Less aggressive,The same,Expert,Very prepared,Expert,Very confident,m3_6,Being aware of my environment ,,
